"Date","Citations","Cited Pages"
"6/29/2026 12:00:00 AM","0","0"
"6/30/2026 12:00:00 AM","0","0"
"7/1/2026 12:00:00 AM","0","0"
"7/2/2026 12:00:00 AM","0","0"
"7/3/2026 12:00:00 AM","0","0"
"7/4/2026 12:00:00 AM","0","0"
"7/5/2026 12:00:00 AM","2","1"
"7/6/2026 12:00:00 AM","0","0"
"7/7/2026 12:00:00 AM","0","0"
"7/8/2026 12:00:00 AM","0","0"
"7/9/2026 12:00:00 AM","4","1"
"7/10/2026 12:00:00 AM","0","0"
"7/11/2026 12:00:00 AM","0","0"
"7/12/2026 12:00:00 AM","12","1"
"7/13/2026 12:00:00 AM","10","1"
"7/14/2026 12:00:00 AM","11","1"
"7/15/2026 12:00:00 AM","4","1"
"7/16/2026 12:00:00 AM","13","2"
"7/17/2026 12:00:00 AM","6","1"
"7/18/2026 12:00:00 AM","0","0"
"7/19/2026 12:00:00 AM","5","1"
"7/20/2026 12:00:00 AM","3","1"
"7/21/2026 12:00:00 AM","3","1"
"7/22/2026 12:00:00 AM","1","1"
"7/23/2026 12:00:00 AM","10","2"
"7/24/2026 12:00:00 AM","1","1"
"7/25/2026 12:00:00 AM","4","2"
"7/26/2026 12:00:00 AM","5","2"
"7/27/2026 12:00:00 AM","8","1"
"7/28/2026 12:00:00 AM","0","0"
"7/29/2026 12:00:00 AM","0","0"
"7/30/2026 12:00:00 AM","0","0"
"7/31/2026 12:00:00 AM","0","0"
"8/1/2026 12:00:00 AM","0","0"
"8/2/2026 12:00:00 AM","0","0"
"8/3/2026 12:00:00 AM","0","0"
"8/4/2026 12:00:00 AM","0","0"
"8/5/2026 12:00:00 AM","0","0"
"8/6/2026 12:00:00 AM","0","0"
"8/7/2026 12:00:00 AM","16","5"
"8/8/2026 12:00:00 AM","16","7"
"8/9/2026 12:00:00 AM","14","4"
"8/10/2026 12:00:00 AM","31","5"
"8/11/2026 12:00:00 AM","10","2"
"8/12/2026 12:00:00 AM","18","6"
"8/13/2026 12:00:00 AM","6","4"
"8/14/2026 12:00:00 AM","12","5"
"8/15/2026 12:00:00 AM","16","6"
"8/16/2026 12:00:00 AM","12","5"
"8/17/2026 12:00:00 AM","8","2"
