"Date","Clicks","Impressions","Avg. CTR"
"6/28/2026 12:00:00 AM","0","0","0"
"6/29/2026 12:00:00 AM","0","0","0"
"6/30/2026 12:00:00 AM","0","0","0"
"7/1/2026 12:00:00 AM","0","0","0"
"7/2/2026 12:00:00 AM","0","0","0"
"7/3/2026 12:00:00 AM","0","0","0"
"7/4/2026 12:00:00 AM","0","2","0"
"7/5/2026 12:00:00 AM","0","0","0"
"7/6/2026 12:00:00 AM","0","0","0"
"7/7/2026 12:00:00 AM","0","0","0"
"7/8/2026 12:00:00 AM","0","0","0"
"7/9/2026 12:00:00 AM","0","0","0"
"7/10/2026 12:00:00 AM","0","0","0"
"7/11/2026 12:00:00 AM","0","0","0"
"7/12/2026 12:00:00 AM","0","0","0"
"7/13/2026 12:00:00 AM","0","0","0"
"7/14/2026 12:00:00 AM","0","0","0"
"7/15/2026 12:00:00 AM","0","1","0"
"7/16/2026 12:00:00 AM","0","3","0"
"7/17/2026 12:00:00 AM","0","2","0"
"7/18/2026 12:00:00 AM","0","3","0"
"7/19/2026 12:00:00 AM","0","0","0"
"7/20/2026 12:00:00 AM","0","0","0"
"7/21/2026 12:00:00 AM","0","1","0"
"7/22/2026 12:00:00 AM","0","3","0"
"7/23/2026 12:00:00 AM","0","0","0"
"7/24/2026 12:00:00 AM","0","0","0"
"7/25/2026 12:00:00 AM","0","2","0"
"7/26/2026 12:00:00 AM","0","0","0"
"7/27/2026 12:00:00 AM","1","2","50"
"7/28/2026 12:00:00 AM","0","0","0"
"7/29/2026 12:00:00 AM","0","0","0"
"7/30/2026 12:00:00 AM","0","7","0"
"7/31/2026 12:00:00 AM","0","3","0"
"8/1/2026 12:00:00 AM","0","0","0"
"8/2/2026 12:00:00 AM","0","1","0"
"8/3/2026 12:00:00 AM","0","0","0"
"8/4/2026 12:00:00 AM","0","4","0"
"8/5/2026 12:00:00 AM","0","0","0"
"8/6/2026 12:00:00 AM","0","0","0"
"8/7/2026 12:00:00 AM","0","4","0"
"8/8/2026 12:00:00 AM","0","1","0"
"8/9/2026 12:00:00 AM","0","0","0"
"8/10/2026 12:00:00 AM","0","4","0"
"8/11/2026 12:00:00 AM","0","5","0"
"8/12/2026 12:00:00 AM","0","9","0"
"8/13/2026 12:00:00 AM","0","7","0"
"8/14/2026 12:00:00 AM","0","1","0"
"8/15/2026 12:00:00 AM","0","0","0"
"8/16/2026 12:00:00 AM","0","1","0"
"8/17/2026 12:00:00 AM","0","4","0"
