Date,Clicks,Impressions,CTR,Position
2026-06-25,0,0,,
2026-06-26,0,2,0%,6.5
2026-06-27,0,1,0%,7
2026-06-28,2,6,33.33%,15.2
2026-06-29,2,3,66.67%,3.7
2026-06-30,1,1,100%,1
2026-07-01,0,3,0%,2.7
2026-07-02,2,5,40%,2.6
2026-07-03,1,4,25%,5.2
2026-07-04,0,61,0%,49
2026-07-05,0,178,0%,65.4
2026-07-06,0,136,0%,69.5
2026-07-07,1,154,0.65%,65.8
2026-07-08,1,158,0.63%,66.7
2026-07-09,0,163,0%,61
2026-07-10,1,145,0.69%,68.4
2026-07-11,1,99,1.01%,54.6
2026-07-12,0,46,0%,43.8
2026-07-13,1,46,2.17%,37.3
2026-07-14,0,21,0%,39.2
2026-07-15,3,24,12.5%,36.9
2026-07-16,0,26,0%,44.3
2026-07-17,1,22,4.55%,47
2026-07-18,0,34,0%,43
2026-07-19,1,37,2.7%,46.9
2026-07-20,0,38,0%,57.7
2026-07-21,0,51,0%,57.7
2026-07-22,0,46,0%,59.3
2026-07-23,0,46,0%,57.1
2026-07-24,1,53,1.89%,53.8
2026-07-25,0,31,0%,50.4
2026-07-26,0,29,0%,48.3
2026-07-27,1,34,2.94%,45.1
2026-07-28,1,38,2.63%,35.9
2026-07-29,0,41,0%,44
2026-07-30,0,44,0%,47.6
2026-07-31,0,40,0%,56.2
2026-08-01,0,57,0%,40.9
2026-08-02,0,46,0%,48.2
2026-08-03,1,28,3.57%,49.5
2026-08-04,0,34,0%,37.8
2026-08-05,1,30,3.33%,50.7
2026-08-06,0,36,0%,52.9
2026-08-07,0,29,0%,46.3
2026-08-08,0,33,0%,41.8
2026-08-09,0,54,0%,37.4
2026-08-10,0,42,0%,46.6
2026-08-11,1,35,2.86%,37
2026-08-12,3,61,4.92%,48.1
2026-08-13,1,40,2.5%,62.7
2026-08-14,1,32,3.12%,53.5
2026-08-15,0,44,0%,46.3
2026-08-16,0,35,0%,47.5
2026-08-17,0,50,0%,44.9
