Country,Clicks,Impressions,CTR,Position
Lithuania,20,48,41.67%,12.42
Pakistan,2,16,12.5%,24.25
India,1,110,0.91%,60.02
Ukraine,1,75,1.33%,68.23
Germany,1,34,2.94%,28.74
Italy,1,25,4%,48.32
Mexico,1,17,5.88%,35.71
Japan,1,6,16.67%,5
South Africa,1,2,50%,3.5
United States,0,1211,0%,58.25
United Kingdom,0,318,0%,64.41
Netherlands,0,111,0%,40.78
Australia,0,81,0%,67.06
Vietnam,0,40,0%,38.3
Afghanistan,0,34,0%,84.74
New Zealand,0,30,0%,82.07
Indonesia,0,29,0%,41.38
Poland,0,26,0%,42.77
Canada,0,23,0%,41.17
Philippines,0,23,0%,50.22
Saudi Arabia,0,20,0%,51.75
Turkey,0,16,0%,46.19
Switzerland,0,16,0%,48.81
Thailand,0,15,0%,35.07
Malaysia,0,15,0%,39
Morocco,0,15,0%,45.53
Spain,0,15,0%,46
Bangladesh,0,15,0%,46.47
Sweden,0,13,0%,37.85
United Arab Emirates,0,11,0%,21.09
Jordan,0,11,0%,50.18
Russia,0,10,0%,27.2
Brazil,0,9,0%,16.89
France,0,9,0%,22.11
Ireland,0,9,0%,50.22
Argentina,0,7,0%,10.71
Nigeria,0,6,0%,14.5
Singapore,0,6,0%,42
Israel,0,5,0%,27.8
South Korea,0,4,0%,14
Algeria,0,4,0%,31.75
Iraq,0,4,0%,42.5
Hong Kong,0,3,0%,8.33
Peru,0,3,0%,29.67
Armenia,0,3,0%,62.33
Greece,0,2,0%,2
Ethiopia,0,2,0%,3
Tunisia,0,2,0%,3
China,0,2,0%,5.5
Sri Lanka,0,2,0%,7
Hungary,0,2,0%,7.5
Czechia,0,2,0%,9.5
Slovakia,0,2,0%,9.5
Uzbekistan,0,2,0%,10
Egypt,0,2,0%,24
Colombia,0,2,0%,25.5
Finland,0,2,0%,38.5
Venezuela,0,2,0%,57.5
Austria,0,2,0%,60
Taiwan,0,1,0%,3
Uruguay,0,1,0%,3
Macau,0,1,0%,5
Norway,0,1,0%,5
Lebanon,0,1,0%,6
Albania,0,1,0%,7
Iran,0,1,0%,7
Martinique,0,1,0%,9
Azerbaijan,0,1,0%,10
Puerto Rico,0,1,0%,10
Bulgaria,0,1,0%,11
Mongolia,0,1,0%,11
Romania,0,1,0%,17
Suriname,0,1,0%,19
Cyprus,0,1,0%,26
Cambodia,0,1,0%,33
Slovenia,0,1,0%,43
Panama,0,1,0%,44
Belgium,0,1,0%,59
Angola,0,1,0%,64
Nepal,0,1,0%,72
